Time,Value,Aggregate
11:14:35.191000,35.515625,35.5625
11:14:36.196000,35.5234375,35.515625
11:14:37.201000,35.5078125,35.5234375
11:14:38.190000,35.515625,35.5078125
11:14:39.195000,35.53125,35.515625
11:14:40.199000,35.5390625,35.53125
11:14:41.191000,35.546875,35.5390625
11:14:42.211000,35.5234375,35.546875
11:14:43.201000,35.5078125,35.5234375
11:14:44.190000,35.5234375,35.5078125
11:14:45.195000,35.5234375,35.5234375
11:14:46.200000,35.53125,35.5234375
11:14:47.190000,35.4765625,35.53125
11:14:48.195000,35.4609375,35.4765625
11:14:49.200000,35.4765625,35.4609375
11:14:50.191000,35.4765625,35.4765625
11:14:51.195000,35.484375,35.4765625
11:14:52.200000,35.4453125,35.484375
11:14:53.191000,35.4375,35.4453125
11:14:54.196000,35.4453125,35.4375
11:14:55.200000,35.4375,35.4453125
11:14:56.191000,35.390625,35.4375
11:14:57.195000,35.3828125,35.390625
11:14:58.216000,35.3828125,35.3828125
11:14:59.191000,35.4140625,35.3828125
11:15:00.195000,35.390625,35.4140625
11:15:01.200000,35.4140625,35.390625
11:15:02.190000,35.4375,35.4140625
11:15:03.196000,35.4375,35.4375
11:15:04.201000,35.40625,35.4375
11:15:05.191000,35.390625,35.40625
11:15:06.196000,35.3671875,35.390625
11:15:07.201000,35.3671875,35.3671875
11:15:08.190000,35.3359375,35.3671875
11:15:09.196000,35.375,35.3359375
11:15:10.202000,35.375,35.375
11:15:11.192000,35.359375,35.375
11:15:12.195000,35.34375,35.359375
11:15:13.202000,35.328125,35.34375
11:15:14.191000,35.3203125,35.328125
11:15:15.196000,35.3359375,35.3203125
11:15:16.201000,35.359375,35.3359375
11:15:17.191000,35.3671875,35.359375
11:15:18.197000,35.3515625,35.3671875
11:15:19.201000,35.3515625,35.3515625
11:15:20.192000,35.328125,35.3515625
11:15:21.196000,35.3359375,35.328125
11:15:22.202000,35.359375,35.3359375
11:15:23.192000,35.3515625,35.359375
11:15:24.197000,35.34375,35.3515625
11:15:25.201000,35.34375,35.34375
11:15:26.190000,35.3515625,35.34375
11:15:27.196000,35.34375,35.3515625
11:15:28.216000,35.3359375,35.34375
11:15:29.191000,35.34375,35.3359375
11:15:30.196000,35.3359375,35.34375
11:15:31.201000,35.34375,35.3359375
11:15:32.191000,35.359375,35.34375
11:15:33.196000,35.3671875,35.359375
11:15:34.202000,35.375,35.3671875
11:15:35.191000,35.3671875,35.375
11:15:36.197000,35.359375,35.3671875
11:15:37.201000,35.359375,35.359375
11:15:38.191000,35.359375,35.359375
11:15:39.196000,35.3671875,35.359375
11:15:40.203000,35.3828125,35.3671875
11:15:41.191000,35.390625,35.3828125
11:15:42.197000,35.3671875,35.390625
11:15:43.202000,35.34375,35.3671875
11:15:44.191000,35.3046875,35.34375
11:15:45.196000,35.265625,35.3046875
11:15:46.202000,35.2734375,35.265625
11:15:47.192000,35.2890625,35.2734375
11:15:48.197000,35.2890625,35.2890625
11:15:49.202000,35.296875,35.2890625
11:15:50.207000,35.296875,35.296875
11:15:51.197000,35.2890625,35.296875
11:15:52.202000,35.296875,35.2890625
11:15:53.192000,35.296875,35.296875
11:15:54.197000,35.296875,35.296875
11:15:55.202000,35.3046875,35.296875
11:15:56.192000,35.3125,35.3046875
11:15:57.197000,35.3203125,35.3125
11:15:58.203000,35.3359375,35.3203125
11:15:59.192000,35.34375,35.3359375
11:16:00.198000,35.3515625,35.34375
11:16:01.203000,35.3671875,35.3515625
11:16:02.192000,35.375,35.3671875
11:16:03.197000,35.3828125,35.375
11:16:04.202000,35.390625,35.3828125
11:16:05.192000,35.3984375,35.390625
11:16:06.197000,35.3828125,35.3984375
11:16:07.201000,35.3515625,35.3828125
11:16:08.191000,35.3359375,35.3515625
11:16:09.196000,35.3359375,35.3359375
11:16:10.202000,35.3359375,35.3359375
11:16:11.193000,35.3515625,35.3359375
11:16:12.197000,35.3671875,35.3515625
11:16:13.202000,35.3828125,35.3671875
11:16:14.192000,35.390625,35.3828125
11:16:15.197000,35.40625,35.390625
